pageid,title
3722808,Jüri Ratas
12279552,Jaak Aab
21393537,Keit Pentus-Rosimannus
29321615,Urmas Kruuse
34363511,Margus Kolga
45349361,Kaja Kallas
46292183,Maris Lauri
51444434,Sven Jürgenson
54021327,Taavi Aas
55279031,Ülle Madise
56274482,Martin Herem
57787874,Liina Kersna
59162295,Katri Raik
62572130,Mihhail Kõlvart
62895443,Tiit Terik
63344066,Kalle Laanet
63353399,Urmas Klaas
66521541,Eva-Maria Liimets
66522177,Kristian Jaani
66543358,Andres Sutt
66555967,Tanel Kiik
66556123,Signe Riisalo
66641980,Erki Savisaar
67070995,Madis Müller
67075187,Villu Kõve
67077103,Margus Laidre
67085375,Aino Lepik von Wirén
67085582,Janar Holm
67085807,Alar Karis
