tab,title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
Executive,President,2021-10-11,Q12358575,Alar Karis,male,1958-03-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alar%20Karis%20cropped.jpg
Executive,Prime Minister,2021-01-26,Q11869065,Kaja Kallas,female,1977-06-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kaja%20Kallas%20%28crop%29.jpg
Executive,Minister of Culture,2021-11-08,Q12376941,Tiit Terik,male,1979-06-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tiit%20Terik%202013.jpg
Executive,Minister of Defence,2021-01-26,Q978349,Kalle Laanet,male,1965-09-25,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kalle%20Laanet%202021.jpg
Executive,Minister of Education and Research,2021-01-26,Q20933509,Liina Kersna,female,1980-04-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Liina%20Kersna.jpg
Executive,Minister of Entrepreneurship and Information Technology,2021-01-26,Q62975823,Andres Sutt,male,1967-11-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Andres%20Sutt.jpg
Executive,Minister of the Environment,2021-01-26,Q62975984,Tõnis Mölder,male,1989-10-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/T%C3%B5nis%20M%C3%B6lder.jpg
Executive,Minister of Finance,2021-01-26,Q458003,Keit Pentus-Rosimannus,female,1976-03-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Keit%20Pentus-Rosimannus%20%28crop%29.jpg
Executive,Minister of Foreign Affairs,2021-01-26,Q105069608,Eva-Maria Liimets,female,1974-05-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Eva-Maria%20Liimets%20%28crop%29.jpg
Executive,Minister of Health and Labour,2021-01-26,Q63383282,Tanel Kiik,male,1989-01-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tanel%20Kiik.jpg
Executive,Minister of the Interior,2021-01-26,Q98122403,Kristian Jaani,male,1976-12-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kristian%20Jaani%20%28crop%29.jpg
Executive,Minister of Justice,2021-01-26,Q16405768,Maris Lauri,female,1966-01-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Maris%20Lauri.jpg
Executive,Minister of Public Administration,2021-01-26,Q1375585,Jaak Aab,male,1960-04-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jaak%20Aab%202017-06-09.jpg
Executive,Minister of Rural Affairs,2021-01-26,Q3741429,Urmas Kruuse,male,1965-07-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Urmas%20Kruuse%20%28crop%29.jpg
Executive,Minister of Social Protection,2021-01-26,Q64850482,Signe Riisalo,female,1968-10-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Signe%20Riisalo.jpg
Executive,mayor of Tallinn,2019-04-11,Q4250802,Mihhail Kõlvart,male,1977-11-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Official%20photo%20of%20mayor%202019%20nr2.jpg
Executive,mayor of Tartu,2014-04-08,Q13607430,Urmas Klaas,male,1971-03-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RE%20Urmas%20Klaas.jpg
Executive,Auditor General,2018-03-07,Q61110563,Janar Holm,male,1976-01-01,9,,,
Executive,Chancellor of Justice,2015-03-31,Q16407395,Ülle Madise,female,1974-12-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%9Clle%20Madise.jpg
Executive,Commander of the Estonian Defence Forces,2018-12-05,Q28790814,Martin Herem,male,1973-12-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Herem%20%282021%29%20extract.jpg
Executive,Governor of the Bank of Estonia,2019-06-07,Q61742853,Madis Müller,male,1977-01-20,11,,,
Riigikogu,President of the Riigikogu,2021-03-18,Q2621730,Jüri Ratas,male,1978-07-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%BCri%20Ratas%202017-05.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q17446896,Yoko Alender,female,1979-06-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alender%2C%20Yoko.IMG%202599.JPG
Riigikogu,Member of the Riigikogu,2019-04-04,Q27430407,Raimond Kaljulaid,male,1982-01-27,11,,,
Riigikogu,Member of the Riigikogu,2019-04-04,Q29420141,Ruuben Kaalep,male,1993-09-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ruuben%20Kaalep.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q53998188,Helle-Moonika Helme,female,1966-07-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Helle-Moonika%20Helme.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q62976118,Marek Jürgenson,male,1977-09-09,11,,,
Riigikogu,Member of the Riigikogu,2019-04-04,Q62976265,Merry Aart,female,1953-03-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Merry%20Aart.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q983831,Jürgen Ligi,male,1959-07-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%BCrgen%20Ligi%2C%202011.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12366820,Kersti Sarapuu,female,1954-05-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Kersti%20Sarapuu.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q12372175,Peeter Ernits,male,1953-06-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Peeter%20Ernits.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q16403371,Indrek Saar,male,1973-02-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Indrek%20Saar%202017-05-25.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q16404020,Mihhail Korb,male,1980-08-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Korb%2C%20Mihhail.IMG%202249.JPG
Riigikogu,Member of the Riigikogu,2019-04-04,Q16405090,Henn Põlluaas,male,1960-02-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/RK%20Henn%20P%C3%B5lluaas.jpg
Riigikogu,Member of the Riigikogu,2019-04-04,Q62975881,Andrus Seeme,male,1969-11-08,11,,,
